"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 29 15:47:14 UTC 2026","Wed Jul 29 15:47:14 UTC 2026","324","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Wed Jul 29 15:47:11 UTC 2026","Wed Jul 29 15:47:14 UTC 2026","2493","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"failed","Wed Jul 29 15:47:11 UTC 2026","Wed Jul 29 15:47:31 UTC 2026","20021","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Wed Jul 29 15:47:31 UTC 2026","Wed Jul 29 15:47:38 UTC 2026","6305","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
