"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 10:34:08 UTC 2026","Mon Aug 10 10:34:11 UTC 2026","2461","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Mon Aug 10 10:34:11 UTC 2026","Mon Aug 10 10:34:11 UTC 2026","334","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Mon Aug 10 10:34:08 UTC 2026","Mon Aug 10 10:34:28 UTC 2026","20192","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Mon Aug 10 10:34:08 UTC 2026","Mon Aug 10 10:34:29 UTC 2026","20892","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
