"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 30 10:57:05 UTC 2026","Thu Jul 30 10:57:22 UTC 2026","17475","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"broken","Thu Jul 30 10:57:22 UTC 2026","Thu Jul 30 10:57:28 UTC 2026","5739","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Thu Jul 30 10:57:05 UTC 2026","Thu Jul 30 10:57:07 UTC 2026","2125","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Thu Jul 30 10:57:07 UTC 2026","Thu Jul 30 10:57:07 UTC 2026","364","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
