"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 29 14:54:56 UTC 2026","Wed Jul 29 14:55:02 UTC 2026","6304","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Wed Jul 29 14:54:40 UTC 2026","Wed Jul 29 14:54:41 UTC 2026","550","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Wed Jul 29 14:54:37 UTC 2026","Wed Jul 29 14:54:56 UTC 2026","18868","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Wed Jul 29 14:54:37 UTC 2026","Wed Jul 29 14:54:40 UTC 2026","2978","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
