"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 01 01:57:10 UTC 2026","Sat Aug 01 01:57:27 UTC 2026","16982","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Sat Aug 01 01:57:12 UTC 2026","Sat Aug 01 01:57:12 UTC 2026","215","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Sat Aug 01 01:57:27 UTC 2026","Sat Aug 01 01:57:33 UTC 2026","5505","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Sat Aug 01 01:57:10 UTC 2026","Sat Aug 01 01:57:12 UTC 2026","1653","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
