"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 06:50:01 UTC 2026","Wed Aug 05 06:50:02 UTC 2026","320","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Wed Aug 05 06:49:59 UTC 2026","Wed Aug 05 06:50:01 UTC 2026","2440","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Wed Aug 05 06:50:16 UTC 2026","Wed Aug 05 06:50:22 UTC 2026","5883","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Wed Aug 05 06:49:59 UTC 2026","Wed Aug 05 06:50:16 UTC 2026","17434","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
