"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 06:15:12 UTC 2026","Mon Aug 10 06:15:14 UTC 2026","2088","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Mon Aug 10 06:15:30 UTC 2026","Mon Aug 10 06:15:34 UTC 2026","3567","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-06 Nama dan harga tetap tampil setelah klik thumbnail","","TC-06 Nama dan harga tetap tampil setelah klik thumbnail","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Mon Aug 10 06:15:40 UTC 2026","Mon Aug 10 06:15:46 UTC 2026","5944","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Mon Aug 10 06:15:12 UTC 2026","Mon Aug 10 06:15:26 UTC 2026","14481","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-01 s/d TC-05 Elemen inti PDP tampil","","TC-01 s/d TC-05 Elemen inti PDP tampil","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Mon Aug 10 06:15:34 UTC 2026","Mon Aug 10 06:15:40 UTC 2026","6165","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Mon Aug 10 06:15:26 UTC 2026","Mon Aug 10 06:15:30 UTC 2026","3977","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-01 s/d TC-05 Elemen inti PDP tampil","","TC-01 s/d TC-05 Elemen inti PDP tampil","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Mon Aug 10 06:15:14 UTC 2026","Mon Aug 10 06:15:14 UTC 2026","367","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
