"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 31 06:40:55 UTC 2026","Fri Jul 31 06:40:57 UTC 2026","2412","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Fri Jul 31 06:40:55 UTC 2026","Fri Jul 31 06:41:04 UTC 2026","9576","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Fri Jul 31 06:40:57 UTC 2026","Fri Jul 31 06:40:58 UTC 2026","399","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Fri Jul 31 06:41:04 UTC 2026","Fri Jul 31 06:41:11 UTC 2026","7058","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
