"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 30 12:57:55 UTC 2026","Thu Jul 30 12:58:01 UTC 2026","5353","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Thu Jul 30 12:58:04 UTC 2026","Thu Jul 30 12:58:10 UTC 2026","5879","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Thu Jul 30 12:57:55 UTC 2026","Thu Jul 30 12:58:04 UTC 2026","8988","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Thu Jul 30 12:58:01 UTC 2026","Thu Jul 30 12:58:01 UTC 2026","379","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
