"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 10:24:45 UTC 2026","Wed Aug 05 10:24:50 UTC 2026","4212","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-06 Nama dan harga tetap tampil setelah klik thumbnail","","TC-06 Nama dan harga tetap tampil setelah klik thumbnail","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Wed Aug 05 10:24:33 UTC 2026","Wed Aug 05 10:24:36 UTC 2026","2722","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Wed Aug 05 10:24:41 UTC 2026","Wed Aug 05 10:24:45 UTC 2026","4200","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-01 s/d TC-05 Elemen inti PDP tampil","","TC-01 s/d TC-05 Elemen inti PDP tampil","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Wed Aug 05 10:24:55 UTC 2026","Wed Aug 05 10:25:02 UTC 2026","6618","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Wed Aug 05 10:24:50 UTC 2026","Wed Aug 05 10:24:55 UTC 2026","5666","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
"passed","Wed Aug 05 10:24:33 UTC 2026","Wed Aug 05 10:24:41 UTC 2026","7844","","Melihat Detail Produk di Halaman PDP Tokopedia","","TC-01 s/d TC-05 Elemen inti PDP tampil","","TC-01 s/d TC-05 Elemen inti PDP tampil","  Sebagai pengguna Tokopedia
  Saya ingin melihat thumbnail, nama, dan harga produk di halaman detail
  Agar saya bisa memutuskan pembelian"
"passed","Wed Aug 05 10:24:36 UTC 2026","Wed Aug 05 10:24:36 UTC 2026","332","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
