"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 30 14:06:04 UTC 2026","Thu Jul 30 14:06:11 UTC 2026","6539","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Thu Jul 30 14:05:49 UTC 2026","Thu Jul 30 14:05:51 UTC 2026","2002","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Thu Jul 30 14:05:51 UTC 2026","Thu Jul 30 14:05:52 UTC 2026","940","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Thu Jul 30 14:05:49 UTC 2026","Thu Jul 30 14:06:04 UTC 2026","15361","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
