"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 30 12:54:47 UTC 2026","Thu Jul 30 12:54:54 UTC 2026","6226","","Pencarian Barang Hardware di E-Commerce","","Pengguna mencari komponen peralatan rumah tangga","","Pengguna mencari komponen peralatan rumah tangga",""
"passed","Thu Jul 30 12:54:25 UTC 2026","Thu Jul 30 12:54:28 UTC 2026","2356","","API Add Barang E-Commerce","","Sukses menambahkan produk hardware baru ke dalam sistem","","Sukses menambahkan produk hardware baru ke dalam sistem",""
"passed","Thu Jul 30 12:54:28 UTC 2026","Thu Jul 30 12:54:28 UTC 2026","730","","API Pencarian Barang E-Commerce","","Sukses mencari produk spesifik via API","","Sukses mencari produk spesifik via API",""
"passed","Thu Jul 30 12:54:25 UTC 2026","Thu Jul 30 12:54:47 UTC 2026","22143","","Pencarian Barang Software di E-Commerce","","User mencari Windows 11","","User mencari Windows 11",""
